City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,arraial do cabo,48,BR,1526180203,94,-22.97,-42.02,73.24,15.99
1,jiquipilas,75,MX,1526176620,69,16.67,-93.65,78.8,6.93
2,katobu,92,ID,1526180185,100,-4.94,122.53,78.55,2.68
3,esperance,20,TT,1526176800,78,10.24,-61.45,78.8,10.29
4,port alfred,8,ZA,1526180086,100,-33.59,26.89,61.0,8.05
5,barrow,0,AR,1526180190,88,-38.31,-60.23,41.47,2.57
6,nueva concepcion,12,GT,1526180478,92,14.2,-91.3,69.95,2.35
7,punta arenas,75,CL,1526176800,93,-53.16,-70.91,35.6,6.93
8,okhotsk,92,RU,1526180261,83,59.36,143.24,34.04,7.94
9,pacific grove,1,US,1526178900,76,36.62,-121.92,60.8,14.99
10,seoul,75,KR,1526178600,63,37.57,126.98,64.4,9.17
11,chicama,75,PE,1526176800,88,-7.84,-79.15,64.4,8.05
12,port macquarie,75,AU,1526176800,55,-31.43,152.91,64.4,18.34
13,souillac,92,FR,1526176800,93,45.6,-0.6,44.6,4.7
14,jamestown,0,AU,1526180173,65,-33.21,138.6,58.79,9.17
15,puerto ayora,12,EC,1526180123,99,-0.74,-90.35,76.25,8.28
16,saint anthony,90,US,1526177340,93,43.97,-111.68,46.4,5.82
17,santa fe,0,AR,1526180479,91,-31.62,-60.7,55.55,6.38
18,prescott,20,US,1526176380,31,34.54,-112.47,64.4,11.41
19,lazaro cardenas,40,MX,1526176320,17,28.39,-105.62,82.4,9.17
20,monte alto,92,BR,1526180479,91,-21.27,-48.5,70.27,2.24
21,georgetown,75,GY,1526176800,100,6.8,-58.16,75.2,4.7
22,faya,0,SA,1526176800,63,18.39,42.45,66.2,3.02
23,kodiak,1,US,1526176380,74,39.95,-94.76,78.8,11.41
24,gigmoto,20,PH,1526180479,95,13.78,124.39,85.39,6.04
25,vila franca do campo,75,PT,1526176800,72,37.72,-25.43,59.0,3.36
26,kahului,40,US,1526176560,74,20.89,-156.47,80.6,23.04
27,ushuaia,40,AR,1526176800,69,-54.81,-68.31,35.6,5.82
28,nantucket,90,US,1526179380,93,41.28,-70.1,51.8,8.05
29,kruisfontein,68,ZA,1526180208,96,-34.0,24.73,57.44,7.05
30,port hawkesbury,75,CA,1526176800,64,45.62,-61.36,39.2,3.36
31,narsaq,88,GL,1526179800,86,60.91,-46.05,30.2,6.93
32,lavrentiya,88,RU,1526180242,100,65.58,-170.99,29.27,9.4
33,nikolskoye,0,RU,1526178600,81,59.7,30.79,46.4,2.24
34,butaritari,92,KI,1526180148,100,3.07,172.79,79.4,5.03
35,knysna,0,ZA,1526176800,93,-34.04,23.05,50.0,1.12
36,batticaloa,12,LK,1526180480,100,7.71,81.69,80.89,3.69
37,jizan,0,SA,1526176800,75,16.89,42.56,89.6,5.82
38,east london,80,ZA,1526180185,100,-33.02,27.91,62.08,14.99
39,petawawa,1,CA,1526176800,79,45.89,-77.27,46.4,1.23
40,seddon,92,NZ,1526180481,100,-41.67,174.07,54.52,7.72
41,yantal,68,RU,1526180481,82,56.85,105.25,44.26,7.72
42,yellowknife,75,CA,1526176800,54,62.45,-114.38,53.6,19.46
43,mbandaka,92,CD,1526180481,100,0.05,18.26,70.85,4.81
44,kapaa,40,US,1526176560,74,22.08,-159.32,80.6,18.34
45,erzincan,90,TR,1526176200,87,39.75,39.49,50.0,6.93
46,norman wells,75,CA,1526176800,35,65.28,-126.83,57.2,12.75
47,thompson,90,CA,1526176800,30,55.74,-97.86,69.8,16.11
48,jiwani,0,PK,1526180481,94,25.05,61.74,81.7,4.47
49,khatanga,12,RU,1526180230,91,71.98,102.47,15.37,8.95
50,ponta do sol,88,BR,1526180241,70,-20.63,-46.0,69.82,2.46
51,tiksi,36,RU,1526180094,95,71.64,128.87,14.11,10.29
52,saint george,75,GR,1526176200,87,39.45,22.34,60.8,2.57
53,san quintin,20,PH,1526176800,66,17.54,120.52,89.6,6.93
54,busselton,76,AU,1526180094,97,-33.64,115.35,68.29,7.16
55,hermanus,76,ZA,1526180133,95,-34.42,19.24,50.65,2.68
56,mataura,8,NZ,1526180185,90,-46.19,168.86,50.15,5.03
57,taltal,0,CL,1526180482,90,-25.41,-70.49,47.68,1.34
58,constitucion,75,MX,1526175660,27,23.99,-104.67,75.2,5.82
59,atuona,44,PF,1526180195,100,-9.8,-139.03,79.54,17.78
60,bredasdorp,64,ZA,1526180216,100,-34.53,20.04,56.5,4.14
61,bambous virieux,40,MU,1526176800,73,-20.34,57.76,73.4,3.36
62,bluff,12,AU,1526180190,31,-23.58,149.07,72.34,9.17
63,sfantu gheorghe,0,RO,1526176800,93,44.65,26.83,51.8,2.24
64,qaanaaq,0,GL,1526180212,71,77.48,-69.36,6.01,5.7
65,tuktoyaktuk,75,CA,1526176800,85,69.44,-133.03,24.8,23.04
66,zhanaozen,0,KZ,1526180240,63,43.35,52.85,63.61,13.09
67,port elizabeth,40,US,1526179140,93,39.31,-74.98,64.4,5.82
68,avarua,75,CK,1526176800,69,-21.21,-159.78,77.0,16.11
69,selfoss,75,IS,1526176800,75,63.94,-21.0,44.6,3.36
70,margate,75,AU,1526179620,82,-43.03,147.26,55.4,10.29
71,hobart,75,AU,1526177280,76,-42.88,147.33,57.2,11.41
72,atar,0,MR,1526180265,35,20.52,-13.05,62.89,3.36
73,hithadhoo,88,MV,1526180194,100,-0.6,73.08,80.35,10.4
74,saskylakh,68,RU,1526180138,100,71.97,114.09,16.22,4.59
75,nalut,0,LY,1526180483,62,31.86,10.98,58.39,2.91
76,lufilufi,20,WS,1526176800,62,-13.87,-171.6,86.0,18.79
77,broome,90,GB,1526177460,93,52.47,1.45,51.8,9.17
78,chaman,92,AF,1526180484,31,30.92,66.46,68.38,3.36
79,albany,90,US,1526178780,93,42.65,-73.75,48.2,2.13
80,sao filipe,20,CV,1526180278,100,14.9,-24.5,69.14,10.29
81,hilo,90,US,1526176560,74,19.71,-155.08,78.8,9.17
82,cidreira,20,BR,1526180264,90,-30.17,-50.22,60.55,9.4
83,vanavara,92,RU,1526180484,73,60.35,102.28,38.32,9.73
84,ribeira grande,88,PT,1526180193,100,38.52,-28.7,61.81,9.4
85,necochea,8,AR,1526180059,100,-38.55,-58.74,48.49,5.7
86,airai,8,TL,1526180196,46,-8.93,125.41,83.86,3.47
87,cabo san lucas,75,MX,1526175780,41,22.89,-109.91,82.4,12.75
88,kefalos,0,GR,1526178000,59,36.75,26.96,60.8,9.17
89,torbay,40,CA,1526176800,80,47.66,-52.73,33.8,16.11
90,belmonte,0,PT,1526180485,75,40.36,-7.35,36.79,4.59
91,bethel,75,US,1526178660,70,60.79,-161.76,42.8,29.97
92,upernavik,92,GL,1526180222,100,72.79,-56.15,25.45,11.07
93,dikson,76,RU,1526180095,100,73.51,80.55,18.88,18.68
94,lorengau,68,PG,1526180295,100,-2.02,147.27,83.72,4.7
95,chegdomyn,92,RU,1526180485,95,51.13,133.04,47.86,3.47
96,hami,0,CN,1526180233,32,42.84,93.51,84.13,5.82
97,birjand,0,IR,1526176800,62,32.86,59.22,55.4,6.93
98,manavalakurichi,75,IN,1526178600,79,8.13,77.3,86.0,3.36
99,new norfolk,75,AU,1526177280,76,-42.78,147.06,57.2,11.41
100,saint-joseph,90,FR,1526176800,87,43.56,6.97,59.0,3.36
101,rikitea,24,PF,1526180186,100,-23.12,-134.97,79.49,7.16
102,dawei,44,MM,1526180486,81,14.07,98.19,82.15,1.9
103,port keats,0,AU,1526180486,47,-14.25,129.55,79.63,20.92
104,gizo,75,IL,1526178480,82,31.8,34.94,69.8,9.17
105,le port,92,FR,1526180487,100,42.87,1.37,27.43,1.9
106,haines junction,48,CA,1526180225,31,60.75,-137.51,39.89,2.91
107,vaini,8,IN,1526180186,82,15.34,74.49,78.37,3.36
108,saldanha,0,PT,1526180235,85,41.42,-6.55,36.07,4.47
109,sechura,0,PE,1526180487,84,-5.56,-80.82,69.55,9.73
110,chokurdakh,0,RU,1526180210,100,70.62,147.9,16.49,10.63
111,pryazha,12,RU,1526176800,75,61.69,33.62,44.6,2.91
112,pimentel,80,BR,1526180488,99,-3.7,-45.5,71.44,2.91
113,mar del plata,88,AR,1526179983,100,-46.43,-67.52,41.87,8.16
114,teahupoo,20,PF,1526178600,66,-17.83,-149.27,84.2,12.75
115,talnakh,36,RU,1526180218,91,69.49,88.39,13.48,5.37
116,saint-philippe,1,CA,1526177700,37,45.36,-73.48,55.4,2.24
117,kavieng,44,PG,1526180088,100,-2.57,150.8,85.25,7.49
118,alofi,80,NU,1526176800,61,-19.06,-169.92,78.8,19.46
119,kabanjahe,24,ID,1526180488,89,3.1,98.49,75.31,2.35
120,pevek,44,RU,1526180187,100,69.7,170.27,23.24,3.8
121,leshukonskoye,24,RU,1526180488,83,64.9,45.76,38.54,3.91
122,goderich,48,CA,1526180272,67,43.74,-81.71,46.64,4.36
123,kaitangata,20,NZ,1526180107,87,-46.28,169.85,49.66,4.36
124,baishishan,56,CN,1526180488,55,43.58,127.55,65.0,4.81
125,palmares do sul,0,BR,1526176800,93,-30.26,-50.51,60.8,4.7
126,odienne,12,CI,1526180489,93,9.51,-7.57,66.85,2.8
127,vardo,75,US,1526178900,77,39.62,-77.74,71.6,3.36
128,castro,92,CL,1526180254,98,-42.48,-73.76,53.26,9.4
129,komsomolskiy,92,RU,1526180219,96,67.55,63.78,30.85,16.11
130,guerrero negro,0,MX,1526180194,81,27.97,-114.04,61.0,8.05
131,vestmannaeyjar,0,IS,1526180201,93,63.44,-20.27,41.02,10.4
132,mahibadhoo,76,MV,1526180489,100,3.78,72.97,84.4,10.4
133,emerald,0,AU,1526180490,35,-23.53,148.16,71.08,9.73
134,cape town,0,ZA,1526176800,93,-33.93,18.42,57.2,6.93
135,saint-augustin,0,FR,1526176800,100,44.83,-0.61,41.0,2.24
136,marienburg,0,DE,1526176200,82,52.12,9.98,60.8,6.93
137,hualmay,32,PE,1526180490,99,-11.1,-77.61,62.17,4.03
